timestamp_ms,roll,pitch,heading,altitude,temperature
3095,5.91,2.32,30.79,102.50,30.00
3157,6.03,2.33,31.38,102.55,30.00
3218,6.16,2.33,31.98,102.60,30.00
3279,6.28,2.35,32.59,102.65,30.00
3340,6.41,2.35,33.20,102.70,30.00
3402,6.53,2.35,33.81,102.75,30.00
3463,6.66,2.36,34.41,102.80,30.00
3525,6.79,2.36,35.01,102.85,30.00
3587,6.91,2.37,35.62,102.90,30.00
3648,7.03,2.37,36.22,102.95,30.00
3711,7.15,2.37,36.83,103.00,30.00
3773,7.26,2.36,37.43,103.05,30.00
3835,7.39,2.35,38.03,103.10,30.00
3896,7.52,2.35,38.64,103.15,30.00
3957,7.64,2.34,39.23,103.20,30.00
4019,7.77,2.33,39.84,103.25,30.00
4081,7.90,2.32,40.44,103.30,30.00
4142,8.02,2.30,41.06,103.35,30.00
4204,8.14,2.28,41.67,103.40,30.00
4266,8.27,2.27,42.27,103.45,30.00
4329,8.40,2.26,42.88,103.50,30.00
4391,8.52,2.24,43.48,103.55,30.00
4453,8.64,2.22,44.09,103.60,30.00
4515,8.76,2.20,44.69,103.65,30.00
4578,8.88,2.18,45.30,103.70,30.00
4641,8.99,2.16,45.91,103.75,30.00
4702,9.12,2.15,46.51,103.80,30.00
4763,9.25,2.14,47.11,103.85,30.00
4825,9.37,2.11,47.72,103.90,30.00
4887,9.50,2.09,48.33,103.95,30.00
4949,9.62,2.07,48.94,104.00,30.00
5011,9.74,2.04,49.54,104.05,30.00
5072,9.85,2.01,50.14,104.10,30.00
5134,9.96,1.98,50.74,104.15,30.00
5196,10.09,1.94,51.35,104.20,30.00
5260,10.21,1.91,51.96,104.25,30.00
5323,10.34,1.88,52.58,104.30,30.00
5386,10.45,1.85,53.18,104.35,30.00
5449,10.57,1.82,53.79,104.40,30.00
5511,10.69,1.79,54.40,104.45,30.00
5574,10.81,1.74,55.00,104.50,30.00
5636,10.92,1.71,55.60,104.55,30.00
5698,11.05,1.68,56.20,104.60,30.00
5759,11.18,1.63,56.81,104.65,30.00
5821,11.30,1.58,57.42,104.70,30.00
5884,11.42,1.53,58.04,104.75,30.00
5947,11.53,1.48,58.64,104.80,30.00
6009,11.65,1.42,59.25,104.85,30.00
6071,11.76,1.37,59.85,104.90,30.00
6133,11.87,1.33,60.46,104.95,30.00
6197,11.99,1.29,61.06,105.00,30.00
6258,12.11,1.23,61.65,105.05,30.00
6321,12.22,1.17,62.24,105.10,30.00
6382,12.35,1.12,62.85,105.15,30.00
6445,12.46,1.07,63.45,105.20,30.00
6509,12.58,1.01,64.04,105.25,30.00
6569,12.68,0.96,64.64,105.30,30.00
6631,12.80,0.90,65.25,105.35,30.00
6693,12.91,0.83,65.85,105.40,30.00
6755,13.02,0.77,66.45,105.45,30.00
6817,13.13,0.71,67.06,105.50,30.00
6878,13.23,0.65,67.65,105.55,30.00
6940,13.33,0.58,68.25,105.60,30.00
7001,13.44,0.52,68.85,105.65,30.00
7063,13.55,0.46,69.45,105.70,30.00
7124,13.66,0.39,70.06,105.75,30.00
7187,13.77,0.32,70.67,105.80,30.00
7250,13.87,0.24,71.28,105.85,30.00
7313,13.96,0.18,71.89,105.90,30.00
7375,14.07,0.11,72.49,105.95,30.00
7437,14.17,0.04,73.09,106.00,30.00
7499,14.26,-0.04,73.68,106.05,30.00
7561,14.36,-0.13,74.28,106.10,30.00
7623,14.45,-0.21,74.87,106.15,30.00
7685,14.56,-0.29,75.47,106.20,30.00
7747,14.65,-0.37,76.08,106.25,30.00
7808,14.75,-0.45,76.68,106.30,30.00
7870,14.84,-0.52,77.29,106.35,30.00
7933,14.93,-0.61,77.90,106.40,30.00
7995,15.03,-0.70,78.51,106.45,30.00
8057,15.13,-0.78,79.11,106.50,30.00
8121,15.21,-0.85,79.70,106.55,30.00
8181,15.31,-0.94,80.29,106.60,30.00
8243,15.39,-1.03,80.88,106.65,30.00
8305,15.48,-1.11,81.48,106.70,30.00
8367,15.56,-1.21,82.09,106.75,30.00
8429,15.65,-1.30,82.68,106.80,30.00
8491,15.74,-1.39,83.29,106.85,30.00
8555,15.82,-1.48,83.89,106.90,30.00
8619,15.90,-1.57,84.49,106.95,30.00
8682,15.98,-1.67,85.07,107.00,30.00
8744,16.06,-1.76,85.68,107.05,30.00
8806,16.14,-1.85,86.28,107.10,30.00
8868,16.22,-1.94,86.86,107.15,30.00
8931,16.30,-2.03,87.45,107.20,30.00
8993,16.37,-2.13,88.04,107.25,30.00
9057,16.44,-2.23,88.62,107.30,30.00
9118,16.51,-2.33,89.21,107.35,30.00
9178,16.59,-2.42,89.81,107.40,30.00
9241,16.66,-2.52,90.42,107.45,30.00
9305,16.74,-2.62,91.02,107.50,30.00
9367,16.80,-2.74,91.62,107.55,30.00
9429,16.88,-2.83,92.22,107.60,30.00
9493,16.95,-2.93,92.81,107.65,30.00
9555,17.02,-3.03,93.40,107.70,30.00
9616,17.10,-3.13,94.00,107.75,30.00
9679,17.15,-3.24,94.61,107.80,30.00
9742,17.22,-3.34,95.21,107.85,30.00
9805,17.29,-3.45,95.82,107.90,30.00
9866,17.35,-3.55,96.41,107.95,30.00
9928,17.42,-3.66,96.99,108.00,30.00
9989,17.47,-3.76,97.58,108.05,30.00
10050,17.54,-3.88,98.18,108.10,30.00
10112,17.60,-3.98,98.77,108.15,30.00
10173,17.67,-4.08,99.36,108.20,30.00
10235,17.72,-4.20,99.97,108.25,30.00
10297,17.77,-4.31,100.57,108.30,30.00
10358,17.83,-4.42,101.16,108.35,30.00
10421,17.88,-4.53,101.77,108.40,30.00
10482,17.94,-4.65,102.36,108.45,30.00
10545,17.99,-4.77,102.95,108.50,30.00
10606,18.05,-4.89,103.55,108.55,30.00
10669,18.10,-5.01,104.14,108.60,30.00
10731,18.15,-5.12,104.75,108.65,30.00
10794,18.20,-5.24,105.35,108.70,30.00
10856,18.24,-5.36,105.96,108.75,30.00
10917,18.29,-5.48,106.55,108.80,30.00
10979,18.34,-5.59,107.15,108.85,30.00
11041,18.38,-5.71,107.74,108.90,30.00
11104,18.41,-5.83,108.33,108.95,30.00
11167,18.44,-5.95,108.93,109.00,30.00
11230,18.49,-6.07,109.51,109.05,30.00
11290,18.52,-6.19,110.12,109.10,30.00
11353,18.55,-6.32,110.71,109.15,30.00
11415,18.58,-6.43,111.31,109.20,30.00
11476,18.61,-6.55,111.89,109.25,30.00
11539,18.64,-6.68,112.49,109.30,30.00
11601,18.66,-6.80,113.10,109.35,30.00
11664,18.69,-6.92,113.69,109.40,30.00
11726,18.71,-7.05,114.29,109.45,30.00
11788,18.74,-7.17,114.88,109.50,30.00
11851,18.77,-7.30,115.49,109.55,30.00
11915,18.79,-7.41,116.09,109.60,30.00
11976,18.81,-7.54,116.68,109.65,30.00
12036,18.83,-7.67,117.27,109.70,30.00
12097,18.83,-7.79,117.87,109.75,30.00
12159,18.85,-7.92,118.47,109.80,30.00
12221,18.86,-8.05,119.07,109.85,30.00
12283,18.88,-8.17,119.66,109.90,30.00
12345,18.88,-8.30,120.26,109.95,30.00
12407,18.90,-8.42,120.86,110.00,30.00
12470,18.90,-8.55,121.46,110.05,30.00
12532,18.91,-8.67,122.05,110.10,30.00
12594,18.91,-8.80,122.65,110.15,30.00
12657,18.92,-8.92,123.25,110.20,30.00
12718,18.93,-9.05,123.87,110.25,30.00
12779,18.93,-9.18,124.47,110.30,30.00
12841,18.92,-9.30,125.08,110.35,30.00
12903,18.94,-9.42,125.67,110.40,30.00
12963,18.94,-9.56,126.27,110.45,30.00
13024,18.94,-9.68,126.86,110.50,30.00
13087,18.93,-9.80,127.46,110.55,30.00
13148,18.92,-9.92,128.04,110.60,30.00
13210,18.91,-10.04,128.64,110.65,30.00
13271,18.90,-10.17,129.24,110.70,30.00
13333,18.90,-10.30,129.85,110.75,30.00
13394,18.90,-10.42,130.45,110.80,30.00
13457,18.88,-10.54,131.06,110.85,30.00
13520,18.86,-10.68,131.66,110.90,30.00
13583,18.84,-10.80,132.26,110.95,30.00
13647,18.84,-10.91,132.86,111.00,30.00
13709,18.82,-11.04,133.47,111.05,30.00
13771,18.81,-11.17,134.09,111.10,30.00
13834,18.79,-11.28,134.69,111.15,30.00
13894,18.77,-11.41,135.31,111.20,30.00
13958,18.74,-11.53,135.92,111.25,30.00
14018,18.73,-11.65,136.52,111.30,30.00
14081,18.71,-11.76,137.13,111.35,30.00
14145,18.68,-11.88,137.75,111.40,30.00
14206,18.65,-12.00,138.36,111.45,30.00
14268,18.63,-12.11,138.96,111.50,30.00
14331,18.61,-12.23,139.57,111.55,30.00
14393,18.58,-12.35,140.19,111.60,30.00
14454,18.56,-12.46,140.78,111.65,30.00
14517,18.52,-12.59,141.39,111.70,30.00
14578,18.50,-12.70,141.99,111.75,30.00
14642,18.48,-12.82,142.59,111.80,30.00
14705,18.44,-12.93,143.19,111.85,30.00
14767,18.39,-13.05,143.81,111.90,30.00
14829,18.36,-13.17,144.41,111.95,30.00
14891,18.32,-13.28,145.02,112.00,30.00
14954,18.29,-13.40,145.64,112.05,30.00
15016,18.25,-13.51,146.24,112.10,30.00
15079,18.21,-13.63,146.85,112.15,30.00
15141,18.17,-13.74,147.45,112.20,30.00
15201,18.13,-13.87,148.06,112.25,30.00
15265,18.08,-13.99,148.69,112.30,30.00
15327,18.03,-14.10,149.29,112.35,30.00
15388,18.00,-14.22,149.89,112.40,30.00
15449,17.95,-14.34,150.50,112.45,30.00
15512,17.90,-14.45,151.11,112.50,30.00
15573,17.86,-14.56,151.71,112.55,30.00
15636,17.79,-14.67,152.33,112.60,30.00
15699,17.74,-14.77,152.96,112.65,30.00
15759,17.69,-14.88,153.56,112.70,30.00
15821,17.63,-14.99,154.19,112.75,30.00
15883,17.58,-15.10,154.79,112.80,30.00
15945,17.52,-15.21,155.40,112.85,30.00
16006,17.47,-15.32,156.00,112.90,30.00
16068,17.39,-15.43,156.63,112.95,30.00
16130,17.32,-15.54,157.25,113.00,30.00
16192,17.25,-15.65,157.86,113.05,30.00
16254,17.19,-15.75,158.47,113.10,30.00
16316,17.12,-15.85,159.09,113.15,30.00
16378,17.05,-15.96,159.72,113.20,30.00
16440,16.98,-16.07,160.33,113.25,30.00
16501,16.91,-16.18,160.93,113.30,30.00
16564,16.84,-16.28,161.54,113.35,30.00
16625,16.77,-16.39,162.15,113.40,30.00
16688,16.71,-16.49,162.76,113.45,30.00
16751,16.63,-16.58,163.38,113.50,30.00
16814,16.56,-16.69,163.99,113.55,30.00
16876,16.49,-16.79,164.60,113.60,30.00
16940,16.41,-16.88,165.24,113.65,30.00
17000,16.34,-16.98,165.87,113.70,30.00
17061,16.25,-17.07,166.51,113.75,30.00
17122,16.17,-17.17,167.12,113.80,30.00
17183,16.09,-17.27,167.74,113.85,30.00
17245,16.00,-17.37,168.37,113.90,30.00
17307,15.92,-17.45,168.99,113.95,30.00
17369,15.83,-17.55,169.60,114.00,30.00
17433,15.73,-17.65,170.24,114.05,30.00
17496,15.63,-17.75,170.88,114.10,30.00
17556,15.54,-17.84,171.52,114.15,30.00
17619,15.45,-17.94,172.16,114.20,30.00
17682,15.36,-18.03,172.77,114.25,30.00
17743,15.26,-18.12,173.39,114.30,30.00
17806,15.16,-18.21,174.02,114.35,30.00
17867,15.07,-18.29,174.64,114.40,30.00
17928,14.96,-18.37,175.27,114.45,30.00
17991,14.86,-18.46,175.89,114.50,30.00
18051,14.76,-18.54,176.54,114.55,30.00
18114,14.65,-18.62,177.17,114.60,30.00
18177,14.55,-18.70,177.82,114.65,30.00
18239,14.44,-18.78,178.44,114.70,30.00
18301,14.34,-18.87,179.08,114.75,30.00
18364,14.24,-18.93,179.70,114.80,30.00
18425,14.13,-19.02,-179.66,114.85,30.00
18486,14.03,-19.09,-179.03,114.90,30.00
18549,13.93,-19.16,-178.40,114.95,30.00
18612,13.83,-19.22,-177.78,115.00,30.00
18674,13.72,-19.28,-177.16,115.05,30.00
18736,13.61,-19.35,-176.51,115.10,30.00
18799,13.50,-19.43,-175.86,115.15,30.00
18861,13.40,-19.51,-175.22,115.20,30.00
18923,13.28,-19.58,-174.59,115.25,30.00
